sample	protocol	patient_id	mutrate_observed	mutrate_CI_low	mutrate_CI_high	caller
SC001_B1_1_H_2_DC_unc	uncorrected	SC001	2.630346767212537e-08	2.012006856906212e-08	3.378790462172033e-08	DupCaller
SC001_B1_1_H_2_DC_corr	corrected	SC001	2.296313340718709e-08	1.7800206235919633e-08	2.9156492164948213e-08	DupCaller
SC001_B1_1_H_2_DC	unmasked	SC001	5.500867337359595e-07	5.203949001115487e-07	5.810311854090582e-07	DupCaller
SC002_B1_1_H_2_DC_unc	uncorrected	SC002	1.9993596357655123e-08	1.525722032960823e-08	2.5735721711831213e-08	DupCaller
SC002_B1_1_H_2_DC_corr	corrected	SC002	1.719877356735104e-08	1.2776122131628846e-08	2.265793546686773e-08	DupCaller
SC002_B1_1_H_2_DC	unmasked	SC002	4.029403055117652e-07	3.80608183371297e-07	4.262407744070516e-07	DupCaller
SC003_B1_1_H_2_DC_unc	uncorrected	SC003	3.0806812673322245e-08	2.566289767285112e-08	3.667943531651221e-08	DupCaller
SC003_B1_1_H_2_DC_corr	corrected	SC003	1.960625983585633e-08	1.4861271884284644e-08	2.5384900034905665e-08	DupCaller
SC003_B1_1_H_2_DC	unmasked	SC003	3.0998285247311014e-07	2.931993359091281e-07	3.274766894099265e-07	DupCaller
